"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Nov 09 17:22:58 UTC 2025","Sun Nov 09 17:22:58 UTC 2025","38","API Тесты","Positive Tests","","","","ТС03: Получение списка сущностей (GET /api/getAll)","
Тест проверяет возможность получения списка всех сущностей через эндпоинт GET /api/getAll
- Создаются несколько тестовых сущностей
- Отправляется GET-запрос на /api/getAll
- Проверяется, что возвращаемый массив содержит все созданные сущности
- Сущности удаляются
"
"passed","Sun Nov 09 17:22:58 UTC 2025","Sun Nov 09 17:22:58 UTC 2025","33","API Тесты","Positive Tests","","","","ТС04: Обновление сущности (PATCH /api/patch/{id})","
Тест проверяет возможность обновления существующей сущности через эндпоинт PATCH /api/patch/{id}
- Создаётся тестовая сущность
- Отправляется PATCH-запрос с новыми данными для созданной сущности
- Отправляется GET-запрос на /api/get/{id}
- Проверяется, что возвращаемые данные содержат обновлённые значения (с учётом поведения API)
- Сущность удаляется
"
"passed","Sun Nov 09 17:22:53 UTC 2025","Sun Nov 09 17:22:57 UTC 2025","3651","UI Тесты","Positive Tests","","","","TC01: Создание клиента с генерацией данных","
Тест проверяет создание нового клиента с автоматически сгенерированными данными:
- Post Code генерируется как 10-значное число
- First Name формируется на основе Post Code по логике: пары цифр -> индекс буквы (0-25) -> буква
- Проверяется появление алерта ""Customer added successfully"" и наличие клиента в таблице
"
"passed","Sun Nov 09 17:22:58 UTC 2025","Sun Nov 09 17:22:58 UTC 2025","27","API Тесты","Positive Tests","","","","ТС01: Создание сущности (POST /api/create)","
Тест проверяет возможность создания новой сущности через эндпоинт POST /api/create
- Подготавливаются данные для создания
- Отправляется POST-запрос с этими данными
- Проверяется возвращаемый ID
- Проверяется, что созданная сущность доступна по GET /api/get/{id}
- Сущность удаляется
"
"passed","Sun Nov 09 17:22:58 UTC 2025","Sun Nov 09 17:22:58 UTC 2025","31","API Тесты","Positive Tests","","","","ТС02: Получение сущности (GET /api/get/{id})","
Тест проверяет возможность получения существующей сущности по её ID через эндпоинт GET /api/get/{id}
- Создаётся тестовая сущность
- Отправляется GET-запрос с ID созданной сущности
- Проверяется, что возвращаемые данные соответствуют созданным
- Сущность удаляется
"
"passed","Sun Nov 09 17:22:58 UTC 2025","Sun Nov 09 17:22:58 UTC 2025","32","API Тесты","Positive Tests","","","","ТС05: Удаление сущности (DELETE /api/delete/{id})","
Тест проверяет возможность удаления существующей сущности через эндпоинт DELETE /api/delete/{id}
- Создаётся тестовая сущность
- Проверяется её существование через GET /api/get/{id}
- Отправляется DELETE-запрос на /api/delete/{id}
- Отправляется GET-запрос на /api/get/{id}
- Проверяется, что запрос завершается с ошибкой (500)
"
"passed","Sun Nov 09 17:22:53 UTC 2025","Sun Nov 09 17:22:56 UTC 2025","2781","UI Тесты","Positive Tests","","","","TC02: Сортировка клиентов по имени","
Тест проверяет корректность сортировки клиентов в таблице по столбцу First Name:
- При первом клике по заголовку сортировка меняется на обратный алфавитный порядок (Z-A)
- При втором клике — на алфавитный порядок (A-Z)
"
"passed","Sun Nov 09 17:22:53 UTC 2025","Sun Nov 09 17:22:56 UTC 2025","2608","UI Тесты","Positive Tests","","","","TC03: Удаление клиента с именем, длина которого ближе всего к средней","
Тест проверяет удаление клиента, чья длина имени ближе всего к средней длине всех имён в таблице:
- Вычисляется средняя длина имён
- Определяется имя с минимальной разницей от средней длины
- Клиент удаляется, проверяется его отсутствие в таблице
"
